# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,76,bravo,TRUE,,,,,0,,,,,100,,,sharp,1,1,0,2,1,467,,dynamo,2,2,0,3,1,298,,wakaba,2,2,0,3,0,434,,squiclean_a,0,0,0,3,0,166,,sshooter,7,6,1,3,1,433,,dynamo,3,0,3,0,1,381,,bold,5,4,1,0,1,448,,96gal,2,1,1,2,0,256,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,263,bravo,TRUE,,,,,0,,,,,100,,,sharp,2,1,1,9,6,1174,,dynamo,14,11,3,9,4,1052,,wakaba,6,4,2,7,4,1050,,squiclean_a,4,3,1,8,3,585,,bucketslosher,17,10,7,7,4,1015,,maneuver,15,11,4,4,3,872,,hissen,12,5,7,5,2,686,,wakaba,7,6,1,4,4,1227,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,mahimahi,94,bravo,TRUE,,,,,0,,,,,100,,,sharp,1,0,1,3,3,588,,dynamo,1,1,0,3,2,427,,squiclean_a,0,0,0,5,1,229,,wakaba,0,0,0,4,1,309,,maneuver,9,9,0,0,2,543,,splatscope,1,1,0,0,1,326,,h3reelgun,6,2,4,2,0,318,,liter4k_scope,5,2,3,0,1,268,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,mahimahi,209,bravo,TRUE,,,,,0,,,,,100,,,sharp,4,4,0,10,2,885,,splatspinner,5,4,1,7,5,906,,soytuber,4,1,3,11,1,438,,jetsweeper,3,2,1,7,2,799,,screwslosher,17,11,6,2,3,902,,hydra,15,14,1,2,2,632,,variableroller,4,2,2,2,4,878,,52gal,8,7,1,5,1,692,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,155,bravo,TRUE,,,,,0,,,,,100,,,sharp,2,2,0,3,2,755,,splatspinner,4,2,2,5,1,543,,splatscope,3,3,0,4,1,465,,jetsweeper,2,2,0,2,1,647,,sshooter,7,6,1,1,2,539,,quadhopper_black,4,3,1,3,2,741,,clashblaster,5,4,1,2,1,407,,pablo,1,1,0,3,2,635,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,mahimahi,246,bravo,TRUE,S,,,,0,,,,,100,,,sharp,10,7,3,12,2,910,,explosher,14,8,6,4,6,1481,,furo,5,3,2,5,5,1185,,hokusai,2,1,1,13,0,473,,variableroller,18,14,4,4,3,1144,,explosher,9,3,6,2,3,878,,promodeler_mg,8,6,2,6,5,1226,,drivewiper,15,11,4,7,2,683,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,95,alpha,TRUE,,,,,100,,,,,0,,,hotblaster,5,4,1,1,1,276,,splatspinner,6,6,0,1,1,512,,explosher,2,0,2,1,1,411,,squiclean_a,2,1,1,2,0,208,,soytuber,2,2,0,2,2,382,,52gal,2,2,0,3,2,444,,maneuver,1,0,1,2,1,369,,splatroller,1,1,0,5,0,141,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,mahimahi,72,bravo,TRUE,,,,,0,,,,,100,,,hotblaster,0,0,0,4,0,174,,explosher,0,0,0,2,1,468,,splatspinner,0,0,0,2,1,339,,squiclean_a,0,0,0,4,0,101,,splatspinner,7,3,4,0,1,379,,rapid_elite,6,2,4,0,1,249,,liter4k_scope,3,3,0,0,1,445,,bucketslosher,4,4,0,0,1,365,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,110,bravo,TRUE,,,,,0,,,,,100,,,hotblaster,2,2,0,3,0,311,,explosher,0,0,0,2,3,713,,splatspinner,1,1,0,4,2,524,,squiclean_a,1,1,0,3,1,234,,jimuwiper,6,6,0,1,1,455,,promodeler_mg,3,2,1,1,3,765,,sshooter,4,2,2,2,1,356,,liter4k,2,2,0,0,2,354,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,regular,nawabari,mategai,180,bravo,,,,3366,40.8,,,,3461,47.8,,,,hydra,4,4,0,2,3,1021,,nzap85,3,2,1,4,3,981,,liter4k,7,6,1,1,2,690,,spygadget,4,2,2,2,2,674,,nzap85,2,1,1,3,3,1067,,sharp,1,1,0,2,2,1060,,dynamo,6,5,1,1,3,927,,hokusai,2,2,0,8,0,407,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,regular,nawabari,mategai,180,bravo,,,,3713,46.3,,,,3754,46.4,,,,hydra,8,5,3,1,4,1069,,sharp,8,5,3,2,3,965,,promodeler_mg,0,0,0,4,2,886,,barrelspinner,6,4,2,3,1,793,,nzap85,1,0,1,3,4,1116,,nzap85,5,4,1,2,3,1073,,bold,3,3,0,5,2,827,,dynamo,5,3,2,4,2,738,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,mahimahi,150,alpha,TRUE,S+ 13,,,,100,,,,,0,,,pablo,8,5,3,5,2,645,,explosher,7,3,4,0,3,765,,longblaster,7,4,3,3,1,429,,promodeler_mg,3,2,1,5,1,641,,bamboo14mk1,8,5,3,2,3,611,,soytuber,5,3,2,2,3,703,,screwslosher,6,2,4,5,2,630,,bottlegeyser,4,3,1,5,1,373,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,185,alpha,TRUE,S+ 13,,,,100,,,,,0,,,pablo,6,5,1,7,2,545,,rapid,10,6,4,3,2,762,,promodeler_mg,7,7,0,5,5,1088,,explosher,6,2,4,3,2,740,,dualsweeper,10,4,6,2,4,894,,quadhopper_black,7,7,0,8,3,902,,longblaster,6,5,1,5,2,555,,longblaster,3,1,2,5,3,651,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,76,alpha,TRUE,,,,,100,,,,,0,,,pablo,5,5,0,2,1,376,,squiclean_a,6,4,2,0,1,241,,explosher,2,1,1,0,1,406,,drivewiper,4,2,2,3,0,194,,splatroller,2,1,1,3,0,219,,furo,2,2,0,3,0,280,,sharp,1,1,0,4,1,287,,splatcharger,1,1,0,2,0,243,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,bankara_open,area,chozame,302,bravo,FALSE,,,,,81,,,,,88,,,pablo,11,7,4,5,8,1599,,explosher,13,8,5,2,6,1714,,drivewiper,10,10,0,11,3,864,,squiclean_a,10,6,4,9,2,771,,wakaba,10,8,2,7,6,1442,,barrelspinner,8,4,4,3,8,1564,,maneuver,8,8,0,9,3,1013,,heroshooter_replica,7,7,0,14,3,784,
Drizzle Season 2022,2022-10-27T02:00:00+00:00,1.2.0,regular,nawabari,mategai,180,alpha,,,,3818,43.5,,,,3820,43.4,,,,hydra,4,3,1,3,3,1005,,dualsweeper,3,2,1,2,3,1011,,nzap85,1,1,0,5,3,912,,variableroller,6,4,2,2,3,890,,screwslosher,5,5,0,1,4,1053,,nzap85,3,2,1,4,3,1016,,screwslosher,5,2,3,3,4,942,,dynamo,3,3,0,2,2,809,
