Username,Url,Datetime,Rule,Lobby,Stage,Win,X Power,Time,Game Version,Stats,A1 Main Weapon,A1 Sub Weapon,A1 Special Weapon,A1 Inked,A1 Kill & Assist,A1 Kill,A1 Assist,A1 Death,A1 Specials,A2 Main Weapon,A2 Sub Weapon,A2 Special Weapon,A2 Inked,A2 Kill & Assist,A2 Kill,A2 Assist,A2 Death,A2 Specials,A3 Main Weapon,A3 Sub Weapon,A3 Special Weapon,A3 Inked,A3 Kill & Assist,A3 Kill,A3 Assist,A3 Death,A3 Specials,A4 Main Weapon,A4 Sub Weapon,A4 Special Weapon,A4 Inked,A4 Kill & Assist,A4 Kill,A4 Assist,A4 Death,A4 Specials,B1 Main Weapon,B1 Sub Weapon,B1 Special Weapon,B1 Inked,B1 Kill & Assist,B1 Kill,B1 Assist,B1 Death,B1 Specials,B2 Main Weapon,B2 Sub Weapon,B2 Special Weapon,B2 Inked,B2 Kill & Assist,B2 Kill,B2 Assist,B2 Death,B2 Specials,B3 Main Weapon,B3 Sub Weapon,B3 Special Weapon,B3 Inked,B3 Kill & Assist,B3 Kill,B3 Assist,B3 Death,B3 Specials,B4 Main Weapon,B4 Sub Weapon,B4 Special Weapon,B4 Inked,B4 Kill & Assist,B4 Kill,B4 Assist,B4 Death,B4 Specials
wtshm,https://stat.ink/@wtshm/spl3/e8a5c75a-0e30-4894-b7eb-ba786bc9c06c,2022-12-07 23:59:57+09:00,area,xmatch,namero,bravo,1768.8,82,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,373,1,0,1,2,1,promodeler_rg,sprinkler,nicedama,773,1,1,0,3,3,h3reelgun,pointsensor,energystand,392,0,0,0,3,1,sharp,quickbomb,kanitank,339,0,0,0,3,1,momiji,torpedo,hopsonar,550,5,3,2,0,2,dualsweeper,splashbomb,hopsonar,421,4,4,0,0,2,tristringer,poisonmist,megaphone51,355,5,3,2,1,1,sharp,quickbomb,kanitank,439,3,1,2,0,1
Nyarukore,https://stat.ink/@Nyarukore/spl3/5614ab58-4016-40c9-84fb-2d93e36bae67,2022-12-07 23:59:14+09:00,area,xmatch,namero,bravo,1749.0,120,v2.0.0,allow,momiji,torpedo,hopsonar,634,5,4,1,2,3,sputtery_hue,torpedo,sameride,622,6,3,3,4,3,wakaba,splashbomb,greatbarrier,711,1,0,1,3,1,drivewiper,torpedo,ultrahanko,329,1,1,0,4,1,nzap85,kyubanbomb,energystand,563,6,3,3,2,2,wakaba,splashbomb,greatbarrier,650,4,4,0,2,2,pablo,splashbomb,megaphone51,578,6,5,1,3,2,sharp,quickbomb,kanitank,634,2,1,1,1,3
ore,https://stat.ink/@ore/spl3/c66c5674-9813-4a1f-9ba2-706cd98168c5,2022-12-07 23:58:47+09:00,area,xmatch,kusaya,alpha,2068.1,256,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,873,7,3,4,7,2,liter4k_scope,trap,hopsonar,754,16,14,2,4,2,screwslosher,tansanbomb,nicedama,1195,10,5,5,3,4,dualsweeper,splashbomb,hopsonar,1169,9,6,3,6,4,sharp,quickbomb,kanitank,1228,11,7,4,7,5,screwslosher,tansanbomb,nicedama,1140,7,5,2,7,4,prime_collabo,kyubanbomb,nicedama,1182,4,4,0,5,6,liter4k,trap,hopsonar,408,4,4,0,9,0
lentan,https://stat.ink/@lentan/spl3/f32fed07-bc17-4af5-9d81-9f1c7bdaf876,2022-12-07 23:57:40+09:00,area,xmatch,namero,bravo,2411.7,318,v2.0.0,allow,liter4k,trap,hopsonar,1546,2,1,1,3,7,wakaba,splashbomb,greatbarrier,1898,10,6,4,6,7,splatroller,curlingbomb,greatbarrier,1167,8,8,0,7,4,sshooter,kyubanbomb,ultrashot,1285,8,6,2,13,4,liter4k_scope,trap,hopsonar,1491,11,10,1,3,6,sharp,quickbomb,kanitank,1766,11,6,5,4,7,wakaba,splashbomb,greatbarrier,1895,7,6,1,5,6,drivewiper,torpedo,ultrahanko,1044,9,7,2,9,4
lin010151,https://stat.ink/@lin010151/spl3/86e17738-d5e0-40ad-b866-7d1b6a58990a,2022-12-07 23:56:50+09:00,area,xmatch,namero,alpha,2355.7,300,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,1323,18,15,3,8,5,sharp,quickbomb,kanitank,1685,10,7,3,4,7,sharp,quickbomb,kanitank,1336,8,4,4,6,6,dynamo,sprinkler,energystand,1366,8,3,5,7,3,wakaba,splashbomb,greatbarrier,1723,5,4,1,5,7,52gal,splashshield,megaphone51,1069,11,10,1,12,2,sharp,quickbomb,kanitank,1481,10,7,3,5,7,variableroller,trap,missile,1561,8,4,4,7,5
mira,https://stat.ink/@mira/spl3/7c87ceba-e450-4cde-a5dc-df204b1bb74a,2022-12-07 23:56:40+09:00,area,xmatch,kusaya,bravo,,151,v2.0.0,allow,bottlegeyser,splashshield,ultrashot,579,4,3,1,3,3,barrelspinner,sprinkler,hopsonar,471,7,2,5,6,1,carbon_deco,quickbomb,ultrashot,577,6,5,1,6,2,sshooter_collabo,splashbomb,tripletornado,627,5,4,1,5,2,splatroller,curlingbomb,greatbarrier,578,10,10,0,4,1,tristringer,poisonmist,megaphone51,803,4,1,3,2,3,kelvin525,splashshield,nicedama,486,5,4,1,4,1,sshooter,kyubanbomb,ultrashot,491,5,5,0,4,2
alweiz,https://stat.ink/@alweiz/spl3/c2aa96d4-85cf-4b2b-85fa-5927da3747c9,2022-12-07 23:55:43+09:00,area,xmatch,kusaya,bravo,1700.5,289,v2.0.0,allow,96gal,sprinkler,kyuinki,1088,8,5,3,11,1,momiji,torpedo,hopsonar,1340,8,5,3,9,6,tristringer,poisonmist,megaphone51,1205,5,4,1,5,6,liter4k,trap,hopsonar,897,4,2,2,3,5,tristringer,poisonmist,megaphone51,1162,12,5,7,3,4,liter4k,trap,hopsonar,1069,11,10,1,1,4,prime_collabo,kyubanbomb,nicedama,1257,9,6,3,6,3,wakaba,splashbomb,greatbarrier,1103,8,7,1,6,3
shige_tairi,https://stat.ink/@shige_tairi/spl3/dcc1c68e-2a82-4955-9690-e373195599d3,2022-12-07 23:54:44+09:00,area,xmatch,kusaya,bravo,1574.0,201,v2.0.0,allow,maneuver,kyubanbomb,kanitank,762,5,4,1,7,3,52gal,splashshield,megaphone51,844,6,6,0,7,2,longblaster,kyubanbomb,hopsonar,587,7,4,3,6,3,sharp,quickbomb,kanitank,939,5,3,2,3,3,explosher,pointsensor,amefurashi,1027,13,4,9,2,4,sharp,quickbomb,kanitank,908,11,7,4,3,3,heroshooter_replica,kyubanbomb,ultrashot,776,7,7,0,5,2,maneuver,kyubanbomb,kanitank,744,6,5,1,7,3
wtshm,https://stat.ink/@wtshm/spl3/f12b4a12-4296-4651-835e-6c5798518a6f,2022-12-07 23:54:18+09:00,area,xmatch,kusaya,alpha,1702.6,300,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,1436,8,2,6,4,6,sharp,quickbomb,kanitank,1465,12,12,0,6,5,explosher,pointsensor,amefurashi,1897,6,4,2,4,6,nova,splashbomb,shokuwander,729,10,10,0,12,1,screwslosher,tansanbomb,nicedama,1370,13,11,2,9,3,hydra,robotbomb,nicedama,1179,7,4,3,4,6,wakaba,splashbomb,greatbarrier,1447,4,3,1,9,5,rapid,trap,tripletornado,1282,11,8,3,6,6
suvichan,https://stat.ink/@suvichan/spl3/85d49afb-0237-4949-9e8a-3c1f70444efd,2022-12-07 23:53:53+09:00,area,xmatch,namero,bravo,2384.8,317,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1247,8,6,2,7,4,sharp,quickbomb,kanitank,1994,12,6,6,2,8,tristringer,poisonmist,megaphone51,1466,8,4,4,4,7,squiclean_a,pointsensor,greatbarrier,1302,12,10,2,6,5,barrelspinner,sprinkler,hopsonar,1329,10,7,3,12,6,rpen_5h,sprinkler,energystand,1727,6,4,2,2,8,prime,linemarker,kanitank,907,7,7,0,7,4,promodeler_rg,sprinkler,nicedama,2583,3,1,2,5,12
